Date,Hour,Time Block,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *,national_temperature_2m,national_apparent_temperature,national_relative_humidity_2m,national_precipitation,national_wind_speed_10m,national_rain,national_wind_direction_10m
01-04-2026,18,17:30 - 17:45,13213.50,15999.60,7135.00,7135.00,3699.67,26.2,27.110466,67.46242,0.0,19.201874,0.0,96.458725
01-04-2026,18,17:45 - 18:00,13893.80,14214.40,7485.00,7485.00,3903.24,26.2,27.110466,67.46242,0.0,19.201874,0.0,96.458725
01-04-2026,19,18:00 - 18:15,13014.10,13437.60,7484.50,7484.50,4151.67,25.65,26.936157,71.00372,0.0,17.654688,0.0,92.33726
01-04-2026,19,18:15 - 18:30,13759.90,12292.70,7604.50,7604.50,4999.34,25.65,26.936157,71.00372,0.0,17.654688,0.0,92.33726
01-04-2026,19,18:30 - 18:45,14420.30,10885.00,7474.70,7474.70,6999.40,25.65,26.936157,71.00372,0.0,17.654688,0.0,92.33726
01-04-2026,19,18:45 - 19:00,16056.50,9085.20,6845.50,6845.50,10000.00,25.65,26.936157,71.00372,0.0,17.654688,0.0,92.33726
01-04-2026,20,19:00 - 19:15,15705.70,7929.70,5730.38,5730.38,10000.00,25.2,27.954075,76.85584,0.0,10.587917,0.0,72.18102
01-04-2026,20,19:15 - 19:30,15296.70,7690.50,5491.19,5491.19,10000.00,25.2,27.954075,76.85584,0.0,10.587917,0.0,72.18102
01-04-2026,20,19:30 - 19:45,15395.40,7830.10,5630.80,5630.80,10000.00,25.2,27.954075,76.85584,0.0,10.587917,0.0,72.18102
01-04-2026,20,19:45 - 20:00,14387.80,8187.30,5987.99,5987.99,10000.00,25.2,27.954075,76.85584,0.0,10.587917,0.0,72.18102
01-04-2026,21,20:00 - 20:15,13262.60,9062.60,6755.40,6755.40,9499.70,24.5,27.711052,79.64348,0.0,7.10031,0.0,30.465475
01-04-2026,21,20:15 - 20:30,13165.60,9287.00,6724.40,6724.40,9499.10,24.5,27.711052,79.64348,0.0,7.10031,0.0,30.465475
01-04-2026,21,20:30 - 20:45,13424.40,8779.40,6680.10,6680.10,10000.00,24.5,27.711052,79.64348,0.0,7.10031,0.0,30.465475
01-04-2026,21,20:45 - 21:00,13495.40,8790.10,6690.79,6690.79,10000.00,24.5,27.711052,79.64348,0.0,7.10031,0.0,30.465475
